nohup: ignoring input
 INFO  Accepting connections at http://localhost:8080
 HTTP  9/7/2025 12:40:33 PM 127.0.0.1 GET /js/app.e2f12930.js
 HTTP  9/7/2025 12:40:33 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/7/2025 12:40:37 PM 127.0.0.1 GET /
 HTTP  9/7/2025 12:40:37 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  9/7/2025 12:40:37 PM 127.0.0.1 GET /js/chunk-vendors.0059c332.js
 HTTP  9/7/2025 12:40:37 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/7/2025 12:40:37 PM 127.0.0.1 GET /css/app.74787057.css
 HTTP  9/7/2025 12:40:37 PM 127.0.0.1 GET /css/chunk-vendors.03d44498.css
 HTTP  9/7/2025 12:40:37 PM 127.0.0.1 GET /js/app.e2f12930.js
 HTTP  9/7/2025 12:40:37 PM 127.0.0.1 Returned 200 in 4 ms
 HTTP  9/7/2025 12:40:37 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  9/7/2025 12:40:37 PM 127.0.0.1 Returned 200 in 4 ms
 HTTP  9/7/2025 12:40:44 PM 64.62.156.162 GET /
 HTTP  9/7/2025 12:40:44 PM 64.62.156.162 Returned 200 in 2 ms
 HTTP  9/7/2025 12:41:05 PM 64.62.156.164 GET /favicon.ico
 HTTP  9/7/2025 12:41:05 PM 64.62.156.164 Returned 200 in 2 ms
 HTTP  9/7/2025 12:41:18 PM 64.62.156.169 GET http://api.ipify.org/?format=json
 HTTP  9/7/2025 12:41:18 PM 64.62.156.169 Returned 200 in 2 ms
 HTTP  9/7/2025 12:41:27 PM 64.62.156.162 GET /geoserver/web/
 HTTP  9/7/2025 12:41:27 PM 64.62.156.162 Returned 200 in 1 ms
 HTTP  9/7/2025 12:45:50 PM 109.94.225.121 GET /
 HTTP  9/7/2025 12:45:50 PM 109.94.225.121 Returned 200 in 1 ms
 HTTP  9/7/2025 1:18:07 PM 127.0.0.1 GET /
 HTTP  9/7/2025 1:18:07 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/7/2025 1:18:08 PM 127.0.0.1 GET /
 HTTP  9/7/2025 1:18:08 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/7/2025 1:18:09 PM 127.0.0.1 GET /js/chunk-vendors.0059c332.js
 HTTP  9/7/2025 1:18:09 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  9/7/2025 1:18:09 PM 127.0.0.1 GET /js/app.e2f12930.js
 HTTP  9/7/2025 1:18:09 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/7/2025 1:18:09 PM 127.0.0.1 GET /css/chunk-vendors.03d44498.css
 HTTP  9/7/2025 1:18:09 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/7/2025 1:18:09 PM 127.0.0.1 GET /css/app.74787057.css
 HTTP  9/7/2025 1:18:09 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  9/7/2025 1:18:12 PM 127.0.0.1 GET /favicon.ico
 HTTP  9/7/2025 1:18:12 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/7/2025 1:18:13 PM 127.0.0.1 GET /img/LoginPage.596311b2.png
